Kodiak
Sierra
Lion
Mountain Lion
Snow Leopard
Leopard
Tiger
Panther
Jaguar
Puma
Cheetah
Mavericks
Yosemite
El Capitan
High Sierra
Mojave
XP
7
8
Server
Vista
Server
2000
NT
ME
98
95
WfW 3.11
3.1
3.0
Windows/386
2.0
1.0
Red Hat
CentOS
Fedora
openSUSE
Mandrake
Ubuntu
Xubuntu
