Hanukkah
Christmas
Christmas Eve
Christmas Day
Easter
Saint Stephen's Day
New Year's Eve
New Year's Day
Halloween
Saint Patrick's Day
Saint Valentine's Day
Diwali
Independence Day
Good Friday
Easter Monday
Boxing Day
