"Accountant, bank",Chartered and certified accountants
"Accountant, barrack","Book-keepers, payroll managers and wages clerks"
"Accountant, barracks","Book-keepers, payroll managers and wages clerks"
"Accountant, borough",Chartered and certified accountants
"Accountant, branch",Chartered and certified accountants
"Accountant, certified",Chartered and certified accountants
"Accountant, chartered",Chartered and certified accountants
"Accountant, chief",Chartered and certified accountants
"Accountant, chief, group",Chartered and certified accountants
"Accountant, company",Chartered and certified accountants
"Accountant, cost and management",Chartered and certified accountants
"Accountant, cost and works",Chartered and certified accountants,"Book-keepers, payroll managers and wages clerks"
"Accountant, cost",Chartered and certified accountants,"Book-keepers, payroll managers and wages clerks"
"Accountant, district",Chartered and certified accountants
"Accountant, financial",Chartered and certified accountants,"Book-keepers, payroll managers and wages clerks"
"Accountant, forensic",Chartered and certified accountants
"Accountant, fund",Chartered and certified accountants
"Accountant, group",Chartered and certified accountants,"Book-keepers, payroll managers and wages clerks"
"Accountant, incorporated",Chartered and certified accountants
"Accountant, management",Chartered and certified accountants,"Book-keepers, payroll managers and wages clerks"
"Accountant, management, chartered",Chartered and certified accountants
"Accountant, principal",Chartered and certified accountants
"Accountant, tax",Taxation experts
"Accountant, taxation",Taxation experts
"Accountant, treasury",Chartered and certified accountants
"Accountant, turf",Sports and leisure assistants
"Accountant, works",Chartered and certified accountants,"Book-keepers, payroll managers and wages clerks"
"Adjudicator, claims","Estimators, valuers and assessors"
"Adjuster, average","Estimators, valuers and assessors"
"Adjuster, brake",Metal working production and maintenance fitters
"Adjuster, claims","Estimators, valuers and assessors"
"Adjuster, compass",Precision instrument makers and repairers
"Adjuster, dial",Routine inspectors and testers
"Adjuster, envelope",Paper and wood machine operatives
"Adjuster, lift",Plant and machine operatives n.e.c.
"Adjuster, loss","Estimators, valuers and assessors"
"Adjuster, machine",Metal working production and maintenance fitters,Paper and wood machine operatives
"Adjuster, relay",Electrical and electronic trades n.e.c.
"Adjuster, spring, set",Metal working production and maintenance fitters
"Adjuster, unit","Vehicle technicians, mechanics and electricians"
