Abaco
Abbondanzio
Abbondazio
Abbondio
Abdenago
Abdon
Abdone
Abelardo
Abele
Abelino
Aberardo
Abilio
Abondio
Abramino
Abramo
Accorso
Accursio
Accurso
Achilla
Achille
Achilleo
Acilio
Acquisto
Acrisio
Adalberto
Adalciso
Adalgerio
Adalgisio
Adalgiso
Adalindo
Adalio
Adamello
Adamino
Adamo
Adastro
Addamiano
Addario
Addiego
Addolorato
Addonizio
Adelaido
Adelasio
Adelchi
Adelchio
Adelco
Adelelmo
Adelfino
Adelfio
Adelfo
Adelindo
Adelino
Adelio
Adelisio
Adelmaro
Adelmino
Adelmiro
Adelmo
Adelo
Ademaro
Ademio
Ademo
Adeo
Adeodato
Aderito
Adermo
Adilio
Adimaro
Adimiro
Adino
Adinolfo
Adio
Adiuto
Adiutore
Admeto
Ado
Adolfino
Adolfo
Adone
Adonello
Adorando
Adorato
Adornino
Adorno
Adrasto
Adreano
Adriano
Adrio
Aduilio
Aduino
Aduo
Affortunato
Africano
Africo
Afro
Afrodisio
Agabio
Agabito
Agamennone
Agapio
Agapito
Agatino
Agato
Agatocle
Agatone
Agazio
Agenore
Ageo
Agesilao
Aggeo
Agide
Agilulfo
Agnello
Agnesio
Agnolo
Agostino
Agricola
Agricolo
Agrippino
Agrisio
Aguinaldo
Aiace
Aicardo
Aido
Aimo
Aimone
Airaldo
Aiuto
Aladino
Alaghiero
Alamanno
Alamiro
Alan
Alarico
Albanino
Albano
Alberico
Alberigo
Alberino
Albertino
Alberto
Albino
Albio
Albionte
Albizio
Albizzo
Albo
Alboino
Alceo
Alceste
Alcesto
Alcibiade
Alcide
Alcidio
Alcido
Alcino
Alciso
Aldebrando
Aldegardo
Aldegondo
Aldemaro
Aldemio
Aldemiro
Aldemo
Alderano
Alderico
Alderigi
Alderigo
Alderino
Alderio
Aldero
Aldesino
Aldighiero
Aldimaro
Aldimiro
Aldino
Aldisio
Aldiviero
Aldo
Aldobrandino
Aldobrando
Aldoino
Aldomiro
Aldorino
Aldovino
Alduccio
Alduino
Alealdo
Aleandro
Alearco
Aleardo
Alemanno
Alemaro
Aleramo
Alerano
Alerino
Alesio
Alessandrino
Alessandro
Alessi
Alessio
Alfano
Alfeo
Alferino
Alferio
Alfero
Alfiere
Alfieri
Alfierino
Alfiero
Alfino
Alfio
Alfo
Alfonsino
Alfonso
Alfonzo
Alfredino
Alfredo
Algemiro
Algeo
Algeri
Algerino
Algero
Alghero
Alghisio
Algimiro
Algisio
Algiso
Aliberto
Alibrando
Alicio
Alideo
Alido
Alidoro
Alighieri
Alighiero
Aligi
Aligio
Alimo
Alindo
Alino
Alipio
Aliprando
Alisio
Aliso
Aliviero
Allegrino
Allegro
Almerico
Almerigo
Almerindo
Almerino
Almerio
Almeris
Almiero
Almino
Almirante
Almiro
Almo
Aloisio
Alonzo
Alpidio
Alpiniano
Alpino
Alpinolo
Alpo
Altavillo
Altemio
Alteo
Alterino
Alterio
Altero
Altieri
Altiero
Altimiro
Altobello
Altobrando
Altomare
Altomiro
Altorino
Alvarino
Alvario
Alvaro
Alvezio
Alvise
Alvisio
Alviso
Amabile
Amabilio
Amaddio
Amadeo
Amadio
Amalfio
Amalfo
Amalio
Amandino
Amando
Amante
Amantino
Amanto
Amanzio
Amarando
Amaranto
Amario
Amatino
Amato
Amatore
Amatuccio
Amberto
Ambro
Ambrogino
Ambrogio
Ambrosino
Ambrosio
Amedeo
Ameglio
Amelino
Amelio
Americo
Amerigo
Amerindo
Amerino
Amerio
Amero
Amico
Amilcare
Amino
Aminta
Aminto
Amintore
Amleto
Amodeo
Amodio
Amonasro
Amonastro
Amore
Amorino
Amoroso
Amos
Ampeglio
Ampelio
Ampellio
Amperio
Ampilio
Amsicora
Amulio
Anacleto
Anania
Ananio
Anastasio
Anatolio
Anchise
Ancillo
Anco
Ancomarzio
Andaluso
Andino
Ando
Andrea
Andreano
Andreino
Andreolo
Andreuccio
Andrietto
Andro
Andronico
Anellino
Anelusco
Angelantonio
Angelico
Angelino
Angelo
Angelomaria
Angilberto
Angioletto
Angiolino
Angiolo
Aniceto
Aniello
Anito
Annetto
Annibale
Annico
Annino
Annio
Annito
Anno
Annuccio
Annunciato
Annuncio
Annunziato
Annunzio
Anrico
Ansaldo
Ansano
Anselmino
Anselmo
Ansovino
Ansperto
Ansuino
Antenore
Anteo
Anterino
Anterio
Antero
Antigono
Antimino
Antimo
Antioco
Anto
Antonangelo
Antonello
Antonetto
Antoniano
Antonico
Antonietto
Antonillo
Antonino
Antonio
Antoniuccio
Antonmaria
Antuono
Anzio
Aonio
Apollinare
Apollo
Apollonio
Apostolo
Apparizio
Appiano
Appio
Appioclaudio
Aprile
Aprilio
Aquila
Aquilante
Aquilino
Aquilio
Araldo
Arames
Aramis
Arbace
Arcadio
Arcangelo
Arcangiolo
Arceo
Archelao
Archibaldo
Archimede
Archita
Arcibaldo
Arcide
Arcidio
Arcido
Arcisio
Arciso
Arconte
Ardemaro
Ardengo
Ardingo
Ardino
Ardito
Ardo
Ardoino
Ardolino
Ardovino
Arduilio
Arduino
Arduo
Arealdo
Argante
Argemiro
Argentino
Argento
Argeo
Argimiro
Argio
Argo
Arialdo
Arianno
Ariano
Ariberto
Ariele
Ariello
Arienzo
Arietto
Arimondo
Arino
Ario
Ariosto
Aris
Aristarco
Aristeo
Aristide
Aristo
Aristodemo
Aristotele
Aristotile
Armandino
Armando
Armanno
Armano
Armelindo
Armellino
Armello
Armenio
Armeno
Armerino
Armidio
Armido
Armildo
Armindo
Arminio
Armino
Armirio
Armiro
Armistizio
Arnaldo
Arnoldo
Arnolfo
Aroldo
Aronne
Aronte
Arrighetto
Arrigo
Arriguccio
Arsenio
Arseno
Arsilio
Artaserse
Artemidio
Artemino
Artemio
Artemisio
Artemo
Artenio
Arterio
Artico
Artiero
Artimino
Artimio
Arturino
Arturo
Arzelio
Arzenio
Ascanio
Ascenso
Ascenzio
Ascenzo
Asclepiade
Asclepio
Asdrubale
Asiago
Asmarino
Asmaro
Asmerino
Aspasio
Aspromonte
Assalonne
Assenzio
Assuero
Assuntino
Assunto
Aster
Asterino
Asterio
Astero
Astolfo
Astore
Astorino
Astorre
Astro
Asvero
Atalo
Atanasio
Ateno
Ateo
Athos
Atos
Attala
Attalo
Attanasio
Attico
Attila
Attiliano
Attilio
Atto
Attone
Audace
Audenzio
Audisio
Augustale
Augustino
Augusto
Aulo
Aureliano
Aurelio
Aureo
Aurino
Auro
Ausilio
Ausonio
Aussenzio
Avanti
Avelino
Avelio
Avellino
Avendrace
Aventino
Averaldo
Averardo
Averino
Averio
Aviero
Avo
Avventino
Azaria
Azeglio
Azelio
Azio
Azolino
Azzeglio
Azzelino
Azzello
Azzio
Azzo
Azzolino
Azzurrino
Azzurro
Babila
Babilo
Bacchisio
Baccio
Bachisio
