Abbondanza
Abbondanzia
Abbondia
Abbondina
Abela
Abelarda
Abelina
Abrama
Abramina
Accursa
Accursia
Acheropita
Achilla
Achillea
Achillina
Achiropita
Acilia
Ada
Adalberta
Adalgisa
Adalia
Adalinda
Adalisa
Adama
Adamaria
Adamina
Addolorata
Addolorazione
Adea
Adela
Adelaida
Adelaide
Adelasia
Adelca
Adelcisa
Adele
Adelelma
Adelfa
Adelfina
Adelia
Adelina
Adelinda
Adelisa
Adelisia
Adelita
Adelma
Adelmina
Adelmira
Adema
Ademara
Ademia
Ademina
Aden
Adeodata
Aderita
Adia
Adige
Adigina
Adigrat
Adilia
Adina
Adinolfa
Adionilla
Adolfa
Adolfina
Adona
Adonella
Adoranda
Adorata
Adorna
Adrasta
Adria
Adriana
Adua
Aduana
Affortunata
Afra
Africa
Africana
Afrodite
Agape
Agata
Agatella
Agatina
Agatoclia
Agazia
Agea
Aglaia
Agnella
Agnese
Agnesina
Agostina
Agrippina
Aica
Aida
Aide
Ala
Aladina
Alaghiera
Alba
Albania
Albarosa
Alberica
Alberice
Alberta
Albertina
Albina
Alboina
Albsana
Alcea
Alcesta
Alceste
Alcestina
Alcida
Alcina
Alcisa
Alcmena
Alda
Aldeandra
Aldegarda
Aldegonda
Aldemara
Aldemia
Aldemina
Aldemira
Alderica
Alderice
Alderina
Aldesina
Aldesira
Aldezza
Aldina
Aldobranda
Aldovina
Alduina
Aleandra
Alearda
Alesia
Alessandra
Alessandria
Alessandrina
Alessia
Alessina
Aletta
Alfa
Alfea
Alferia
Alfia
Alfiera
Alfierina
Alfina
Alfonsa
Alfonsina
Alfonza
Alfonzina
Alfreda
Alfredina
Alfrida
Alfride
Algeria
Algerina
Algia
Algisa
Alice
Alicia
Alida
Alide
Alidea
Alidora
Alighiera
Alina
Alinda
Alipia
Alisa
Alisia
Allegra
Allegrina
Alma
Almarosa
Almeria
Almerica
Almerina
Almerinda
Almina
Almira
Alodia
Aloisa
Aloise
Alpa
Altabella
Altavilla
Altea
Altera
Alteria
Altomare
Altomira
Alvara
Alvarina
Alvisa
Alvisia
Amabile
Amabilia
Amadea
Amadia
Amalfa
Amalfia
Amalia
Amanda
Amandina
Amante
Amantina
Amanzia
Amaranta
Amarilda
Amarilli
Amarillide
Amata
Amatrice
Amberta
Ambra
Ambretta
Ambrogia
Ambrogina
Ambrosia
Ambrosina
Amedea
Ameglia
Amelia
Amelina
Amelita
America
Ameriga
Amerina
Amerinda
Amica
Amilcara
Amina
Aminda
Amleta
Amodia
Amore
Amorina
Amorosa
Ampelia
Amulia
Anacleta
Analina
Anastasia
Anatolia
Anca
Ancella
Ancilla
Anda
Andalusa
Andina
Andra
Andreana
Andreatta
Andreina
Andreola
Andretta
Andrettina
Andreuccia
Andrietta
Andromaca
Anella
Anellina
Angela
Angelamaria
Angelarosa
Angeletta
Angelica
Angelina
Angelita
Angiola
Angiolamaria
Angioletta
Angiolina
Aniceta
Anicetta
Aniella
Anita
Anna
Annabella
Annachiara
Annaflavia
Annagrazia
Annalaura
Annalia
Annalisa
Annaluisa
Annamaria
Annarella
Annarita
Annarosa
Annella
Annetta
Annettina
Annibala
Annibalina
Annina
Annita
Annuccia
Annuncia
Annunciata
Annunzia
Annunziata
Annunziatina
Annunziazione
Ansalda
Anselma
Anselmina
Anspertina
Ansuina
Anta
Antea
Antenora
Antera
Antigona
Antigone
Antima
Antimina
Antioca
Antonella
Antonetta
Antonia
Antonica
Antonietta
Antonilla
Antonina
Antonita
Anzia
Apollonia
Appia
Aprilia
Aquila
Aquilina
Arabella
Aralda
Arcangela
Arcangelina
Arcisa
Arda
Ardita
Arduina
Arete
Arfrosina
Argantina
Arge
Argea
Argenta
Argentina
Argenzia
Argia
Aria
Arialda
Ariana
Arianna
Ariela
Ariella
Arietta
Arina
Ariosta
Aristea
Aristidina
Aristodema
Arlesiana
Arletta
Armanda
Armandina
Armela
Armelina
Armelinda
Armella
Armellina
Armena
Armenia
Armentina
Armerina
Armida
Armilla
Armina
Arminda
Arminia
Arnalda
Arnaldina
Arnolda
Arolda
Arpalice
Arriga
Arsenia
Arsilia
Artemia
Artemide
Artemisia
Artenia
Artenice
Artide
Artimina
Artura
Arturina
Ascania
Ascensa
Ascensina
Ascenza
Ascenzina
Asia
Asmara
Aspasia
Assuera
Assunta
Assuntina
Assunzione
Aster
Asteria
Astra
Astrea
Atala
Atalia
Atea
Atena
Atene
Attala
Attilia
Attiliana
Audenzia
Augusta
Augustina
Aura
Aurea
Aurelia
Aureliana
Auretta
Aurora
Ausilia
Ausonia
Ava
Avanti
Ave
Avelia
Avelina
Avellina
Aventina
Averina
Avventina
Azeglia
Azelia
Azelma
Azia
Azzella
Azzolina
Azzurra
Azzurrina
Bachisia
Baingia
Balbina
Balda
Baldina
Baldovina
Balduina
Bambina
Barbara
Barbarella
Barbarina
Barbera
Barberina
Bartola
Bartolina
Bartolomea
Basilea
Basilia
Basiliola
Basilissa
Basilla
Bassanina
Bastiana
Bastianina
Battistina
Baudolina
Beata
Beatrice
Belardina
Belfiore
Belisaria
Bella
Bellina
Benedetta
Benedettina
Bengasina
Beniamina
Benigna
Benilda
Benilde
Benina
Benita
Benizia
Bensa
Benuccia
Benvenuta
Beppa
Beppina
Berarda
Berardina
Berengaria
Berenice
Bernadetta
Bernadette
Bernarda
Bernardetta
Bernardina
Berta
Bertilla
Bertina
Betsabea
Betta
Bettina
Biagia
Biagina
Bianca
Biancamaria
Biancaneve
Biancarosa
Bianchina
Bibbiana
Bibiana
Bice
Bicetta
Bina
Bionda
Biondina
Birgitta
Blanda
Blandina
Bluetta
Bona
Bonacata
Bonacatta
Bonacattu
Bonacatu
Bonafede
Bonaria
Bonarina
Bonella
Bonina
Bonuccia
Bortola
Bortolina
Bortolomea
Brasile
Brasilia
Brasilina
Brenna
Brigida
Brigidina
Brigitta
Brillante
Brillantina
Brizia
Broccola
Bruna
Brunella
Brunera
Brunetta
Brunilde
Brunina
Buonafede
Cabiria
Cadira
Cadore
Cadorna
Cafiera
Calcedonia
Calista
Calliope
Callista
Calogera
Calvina
Camelia
Camilla
Candelora
Candida
Cara
Cardina
Carina
Carissima
Carla
Carletta
Carlina
Carlotta
Carlottina
Carluccia
Carmela
Carmelina
Carmelinda
Carmelita
Carmen
Carmina
Carminella
Carmosina
Carola
Carolina
Casilde
Casimira
Cassandra
Cassia
Cassiana
Casta
Castità
Castorina
Castrenza
Catalda
Cataldina
Catalina
Catarina
Catella
Catena
Caterina
Catia
Catina
Catterina
Catulla
Cecchina
Cecilia
Celerina
Celesta
Celeste
Celestina
Celia
Celidonia
Celina
Celinia
Cellina
Celsa
Celsina
Cenerina
Censina
Cenza
Cenzella
Cenzina
Cesara
Cesarea
Cesaria
Cesarina
Cesarita
Cesella
Cesidia
Cesina
Cesira
Cettina
Chantal
Cherubina
Chiaffreda
Chiara
Chiarastella
Chiarella
Chiaretta
Chiarina
Chicca
Ciana
Cicita
Cina
Cinzia
Cipriana
Cira
Cirene
Ciretta
Ciriaca
Cirilla
Cirina
Cisa
Cisella
Cita
Civita
Clara
Clarenza
Clarenzia
Claretta
Clarice
Clarissa
Clarita
Claudia
Claudiana
Claudina
Clea
Clelia
Clemen
Clementa
Clemente
Clementina
Clemenza
Clemenzia
Cleo
Cleofe
Cleofina
Cleonice
Cleonilde
Cleontina
Cleopatra
Cleope
Cleria
Clerice
Cleta
Clia
Cliceria
Climene
Clio
Clita
Clizia
Clodia
Clodomira
Clodovea
Cloe
Clora
Clori
Cloride
Clorinda
Clotilde
Coletta
Colomba
Colombina
Coltura
Comasia
Comincio
Comita
Comunarda
Cona
Concepita
Concessa
Concessina
Concetta
Concettina
Concezia
Concezione
Conchita
Concita
Concordia
Conforta
Conina
Consalva
Consiglia
Consilia
Consola
Consolata
Consolazione
Consolina
Consuela
Consuelo
Contarda
Contardina
Cora
Coraggio
Coralla
Corallina
Corallo
Cordelia
Corilla
Corina
Corinda
Corinna
Corinta
Corinto
Cornelia
Corona
Coronata
Corrada
Corradina
Corsina
Cortese
Cortesia
Cortesina
Cortina
Cosetta
Cosima
Cosimina
Cosmina
Costantina
Costanza
Crescentina
Crescenza
Crescenzia
Creusa
Criseide
Crispina
Crista
Cristiana
Cristina
Cristofora
Croce
Crocefissa
Crocetta
Crocifissa
Crocina
Cunegonda
Curzia
Dafne
Dagoberta
Daiana
Dalcisa
Dalgisa
Dalia
Dalila
Dalinda
Dalma
Dalmata
Dalmazia
Dalmina
Damasa
Damasca
Damasco
Damiana
Damina
Dana
Dania
Daniela
Daniella
Danila
Danilla
Danta
Dantina
Daria
Dariella
Darina
Darma
Darvina
Davida
Davidica
Davidina
Davina
Dea
Deana
Deanira
Deanna
Debora
Decia
Decima
Decimina
Defendina
Degna
Deianira
Delcisa
Deledda
Delfa
Delfia
Delfina
Delia
Delina
Delinda
Delisa
Delizia
Delma
Delmina
Delmira
Dema
Demetria
Denisa
Denise
Denisia
Deodata
Deomira
Deonisia
Dera
Derina
Derna
Desdemona
Desia
Desidera
Desiderata
Desideria
Desolina
Destino
Diamanta
Diamante
Diamantina
Diambra
Diana
Dianella
Dianora
Didia
Didima
Diega
Diletta
Dilia
Diliana
Dilla
Dimitra
Dina
Diodata
Diodora
Diomira
Dione
Dionella
Dionigia
Dionilla
Dionira
Dionisia
Dirce
Dircea
Disolina
Diva
Divina
Dogalina
Dolcina
Dolcissima
Dolfina
Dolinda
Dolorata
Dolores
Doloretta
Dolorice
Dolorina
Dolorinda
Doloris
Dolorosa
Domenica
Domenichina
Dominica
Domitilla
Domizia
Domiziana
Donata
Donatella
Donatilla
Donatina
Donella
Donetta
Donina
Donnina
Dora
Doralba
Doralice
Doranda
Dorella
Doretta
Doria
Doriana
Doride
Dorina
Dorinda
Doris
Dorita
Dorotea
Dosolina
Doviglia
Dovilia
Draga
Driade
Drusiana
Drusilla
Drusolina
Duccia
Duilia
Duina
Dulcinea
Duse
Dusola
Dusolina
Ebe
Eccelsa
Ecla
Ecle
Eco
Eda
Edda
Ede
Eden
Edena
Edera
Ederina
Edesia
Edgarda
Edi
Edia
Edila
Edilia
Edina
Edita
Editta
Edma
Edmea
Edmonda
Edoarda
Edoardina
Edra
Eduarda
Eduilia
Eduina
Edvige
Edvina
Effisia
Efigenia
Efisia
Efisina
Egea
Egeria
Egida
Egide
Egidia
Egilda
Egilde
Egilia
Egista
Egizia
Egiziaca
Egiziana
Egla
Eglantina
Egle
Eglina
Elba
Elbana
Elda
Eldina
Elea
Eleana
Elena
Elenia
Eleonarda
Eleonora
Eletta
Elettra
Eleuteria
Elfa
Elfia
Elfina
Elfrida
Elfride
Elga
Elia
Eliana
Elianora
Elida
Elide
Elidia
Eligia
Elina
Elinda
Eliodora
Elisa
Elisabella
Elisabetta
Elisanna
Elisea
Elisena
Elisetta
Elisia
Ella
Ellena
Ellenia
Ellera
Ellia
Elliana
Elllida
Elma
Elmina
Elmira
Eloisa
Eloisia
Elpidia
Elsa
Else
Elsia
Elsina
Elva
Elvana
Elvea
Elvenzia
Elvezia
Elvia
Elviana
Elvida
Elvidia
Elvina
Elvinia
Elvira
Elvirina
Elvisa
Elvisia
Elza
Ema
Emanuela
Emanuella
Emera
Emerenziana
Emeria
Emerica
Emerina
Emiddia
Emidia
Emilia
Emiliana
Emilietta
Emina
Emira
Emma
Emmanuela
Emmelina
Enedina
Eneide
Enerina
Enia
Ennia
Enotria
Enrica
Enrichetta
Enza
Enzia
Enzina
Eola
Epifania
Era
Eraclea
Eraclia
Eraclita
Eralda
Erasma
Ercola
Ercolina
Erenia
Eria
Eriana
Eriberta
Erica
Eridana
Eride
Erika
Erilda
Erilde
Erina
Erinna
Erinne
Eritrea
Erlinda
Erma
Ermana
Ermanda
Ermanna
Ermelina
Ermelinda
Ermella
Ermellina
Ermena
Ermenegilda
Ermengarda
Ermengilda
Ermentina
Ermentrude
Ermesina
Ermeta
Ermetina
Ermida
Ermide
Ermilda
Ermina
Erminda
Erminia
Erna
Ernalda
Ernella
Ernesta
Ernestina
Ero
Erodiade
Errica
Errichetta
Ersiglia
Ersilia
Erta
Erte
Ervina
Esmeralda
Espedita
Esperanza
Esperia
Esperina
Esta
Este
Estella
Ester
Esterina
Esule
Esuperanzia
Esuperia
Etruria
Etrusca
Etta
Ettora
Ettorina
Euclida
Eudemia
Eudilia
Eudocia
Eudosia
Eudossia
Eufelia
Eufemia
Eufrasia
Eufrasina
Eufrosia
Eufrosina
Eugenia
Eulalia
Eunice
Eupremia
Eura
Euridice
Europa
Europea
Eurosia
Eusapia
Eusebia
Eustacchia
Eustachia
Eustochia
Euterpe
Eutichia
Eutimia
Eva
Evalda
Evandrina
Evangela
Evangelia
Evangelina
Evarista
Evasia
Evelia
Evelina
Evelisa
Evendra
Everarda
Evia
Evina
Evita
Ezechiela
Ezechiella
Ezelina
Ezelinda
Ezia
Ezzelina
Fabbia
Fabbiana
Fabbiola
Fabbrina
Fabbrizia
Fabea
Fabia
Fabiana
Fabiella
Fabina
Fabiola
Fabiolina
Fabriana
Fabrina
Fabrizia
Facondina
Fadia
Fadilla
Faenza
Faida
Faira
Faisa
Faita
Faiza
Falaride
Falda
Faldina
Faledra
Falena
Faleria
Falerina
Faliera
Falina
Falma
Famiana
Fana
Fania
Fanilla
Fanina
Fanna
Fanni
Fannia
Fannina
Fannita
Fannuccia
Fanny
Fannì
Fanola
Fantina
Fanzia
Faostina
Fara
Farailde
Fasana
Fasma
Fata
Fatima
Fatina
Fatma
Fatolina
Fausta
Faustina
Faviana
Favilla
Favorina
Favorita
Fea
Feanna
Feba
Febbrina
Febbronia
Febe
Febea
Febronia
Fedalba
Fedalma
Fede
Fedela
Fedele
Fedelia
Fedelica
Fedelina
Fedelinda
Federa
Federica
Federiga
Federina
Fedia
Fedilia
Fedilla
Fedina
Fedora
Fedorina
Fedorvana
Fedra
Fedrica
Fegra
Fela
Felda
Felesina
Felia
Felice
Felicea
Felicella
Feliceta
Felicetta
Felicia
Feliciana
Felicietta
Felicina
Feliciola
Felicissima
Felicita
Felicitas
Felicità
Felida
Felide
Felidia
Felina
Felinda
Felisa
Felisia
Felisiana
Felizia
Feliziana
Fellina
Felma
Felmina
Felse
Felsina
Femia
Femide
Fenela
Fenelia
Fenella
Fenenna
Fenesia
Fenesina
Fenia
Fenice
Fenicia
Fenicola
Fenimola
Fenina
Fenisa
Fenisia
Fenizia
Fenolia
Fenza
Fera
Feralda
Feranda
Ferdina
Ferdinanda
Ferdinandina
Feria
Feriana
Ferida
Feride
Feridia
Feridie
Ferina
Ferma
Fermana
Fermentina
Fermilde
Fermilia
Fermilide
Fermina
Ferminia
Fernalda
Fernanda
Fernella
Fernice
Fernida
Ferranda
Ferrandina
Ferrara
Ferrarina
Ferrea
Ferrera
Ferriana
Ferrida
Ferrina
Ferronia
Fertilia
Fervida
Festilia
Festina
Festosa
Fetina
Fiametta
Fiamma
Fiammella
Fiammetta
Fiammina
Fiandra
Ficenza
Fida
Fidalba
Fidalda
Fidalina
Fidalma
Fidalmina
Fidarma
Fide
Fidea
Fidelia
Fidelina
Fidelma
Fidelmina
Fidenzia
Fides
Fidia
Fiducia
Fierina
Fifetta
Fifina
Figenia
Filadelfa
Filadelfia
Filadora
Filargina
Filda
Filde
Filea
Filena
Filia
Filiana
Filiberta
Filicetta
Filicina
Filide
Filidea
Filimena
Filina
Filinda
Filippa
Filippella
Filippetta
Filippina
Filira
Fillide
Filma
Filocia
Filodea
Filomana
Filomena
Filomenna
Filonilla
Filotea
Filuccia
Filumena
Fina
Finalba
Finalda
Finarosa
Fine
Finella
Fines
Finesia
Finetta
Finia
Finicola
Finimola
Finimonda
Finimunda
Finisia
Finita
Finizia
Finuccia
Finuzza
Fioldisa
Fiolomena
Fiona
Fior
Fiora
Fioradea
Fioralba
Fioralda
Fioralice
Fioralma
Fiorana
Fioranda
Fiorangela
Fiorangiola
Fioranna
Fioravante
Fioravantina
Fiorbellina
Fiordalba
Fiordalice
Fiordalige
Fiordaligi
Fiordalinda
Fiordalisa
Fiordalise
Fiordaliso
Fiordelice
Fiordelinda
Fiordelisa
Fiordestilde
Fiordiligi
Fiordimaria
Fiordina
Fiordineve
Fiordisa
Fiordispina
Fiordistella
Fiordoliva
Fiore
Fiorelinda
Fiorelisa
Fiorella
Fiorellina
Fiorena
Fiorenda
Fiorente
Fiorentina
Fiorenza
Fiorenzia
Fiorestilde
Fioretta
Fioridea
Fiorige
Fioriggia
Fiorigia
Fiorilda
Fiorilde
Fiorilena
Fiorilla
Fiorina
Fiorinda
Fiorinella
Fiorinta
Fiorisa
Fiorisella
Fiorisia
Fiorita
Fiorlinda
Fiorlisa
Fiormaria
Fiova
Firenza
Firenze
Firma
Firmana
Firmina
Firminia
Fisia
Fiumana
Fiume
Fiumetta
Fiumina
Flaide
Flamina
Flaminia
Flautilla
Flavia
Flaviana
Flavianna
Flavietta
Flavina
Flavinia
Fleana
Fleanna
Flebonia
Fledia
Flemia
Flena
Flenia
Flera
Fleride
Fleris
Floide
Flor
Flora
Floralba
Floramaria
Florana
Floranda
Florangela
Floranna
Flore
Floreana
Floreanna
Floredana
Florella
Florena
Florentia
Florentina
Florenza
Florenzia
Florenziana
Flores
Floresita
Floresta
Florestana
Florestina
Floretta
Flori
Floria
Floriana
Florianna
Florica
Florice
Florida
Floridana
Floride
Floridea
Floridia
Floridiana
Floriella
Florigia
Florina
Florinda
Floris
Florisa
Florise
Florisia
Florita
Foca
Foglia
Fogliana
Folema
Folgora
Folgorina
Foliana
Follia
Fondina
Fontana
Fontanella
Fonte
Fontemaria
Fontina
Foresta
Forestina
Forimma
Fornarina
Fortezza
Fortina
Fortuna
Fortunanta
Fortunata
Fortunatella
Fortunatina
Fortunella
Fortunia
Fortunina
Fortura
Fosca
Foscara
Foscarina
Foscherina
Foschina
Foscola
Foscolina
Fotina
Fragola
Fragolina
Franca
Francangela
Francesca
Francescana
Francescangela
Francescantonia
Franceschella
Franceschina
Franceschitta
Franchetta
Franchina
Francia
Francina
Francolina
Francuccia
Fransina
Franza
Franzina
Fraolina
Frasca
Frasia
Frasina
Fraulina
Frazia
Frea
Freda
Fredesvinda
Frediana
Fredina
Fredolina
Freia
Freida
Frenesia
Frera
Fresa
Fresia
Fresina
Frida
Fridda
Fride
Fridia
Fridiana
Fridolina
Frieda
Frina
Frine
Frines
Frisia
Frola
Frondina
Frosina
Fruttuosa
Fulberta
Fulda
Fulgenzia
Fulgenzina
Fulgida
Fulva
Fulvia
Fulviana
Furia
Furietta
Furimma
Furtunata
Fusca
Futura
Gabiria
Gabriela
Gabrielina
Gabriella
Gaetana
Gaetanella
Gaetanina
Gaia
Galatea
Galdina
Galeana
Galiana
Galilea
Gallia
Galliana
Gandolfa
